Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
Aéroports de Montréal,-,AUDI AG,"Subsidiary/Investment
                         ",Supplier,Airport Services,Aéroports de Montréal 2020 Form Doc,"Aéroports de Montréal engages in the management, operation, and development of the Montréal-Trudeau International Airport (YUL) and the Mirabel International Airport (YMX) in Canada. The company offers airport infrastructure management, passenger and cargo handling, and air traffic control. Its services include airport management, terminal operations, ground handling services, air traffic control, parking, airport security, and airport development. It also offers commercial services, such as retail and dining establishments, duty-free shops, and car rental services. The company caters to the aviation industry, serving airlines, passengers, cargo operators, and other airport stakeholders. The company sells its services through direct contracts with airlines, retail and dining establishments, and other service providers operating within the airports. The company was incorporated in 1989 and is based in Dorval, Canada."
Aeroports de Paris SA (ENXTPA:ADP),ENXTPA:ADP,AUDI AG,"Subsidiary/Investment
                         ",Supplier,Airport Services,Aeroports de Paris SA (ENXTPA:ADP) - Form Doc,"Aeroports de Paris SA owns and operates airports worldwide. The company operates through Aviation, Retail and Services, Real Estate, International and Airport Developments, and Other Activities segments. The Aviation segment provides security and airport safety services, including security checkpoints, screening systems, aircraft rescue, and fire-fighting services. The Retail and Services segment engages in the retail activities, including bars, restaurants, banks, car rentals, and retails shops, as well as leases space for terminals, advertising, restaurant, and car park services. This segment also engages in the production and supply of heat, drinking water, and access to the chilled distribution networks. The Real Estate segment engages in the construction, commercialization, and lease management of office buildings, logistic buildings, and freight terminals; and provides property leasing services for airport terminals, as well as rents serviced land. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment offers telecom and cybersecurity services. Aeroports de Paris SA was incorporated in 1945 and is based in Tremblay-en-France, France."
Aeroports de Paris SA (ENXTPA:ADP),ENXTPA:ADP,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,Airport Services,Aeroports de Paris SA (ENXTPA:ADP) - Form Doc,"Aeroports de Paris SA owns and operates airports worldwide. The company operates through Aviation, Retail and Services, Real Estate, International and Airport Developments, and Other Activities segments. The Aviation segment provides security and airport safety services, including security checkpoints, screening systems, aircraft rescue, and fire-fighting services. The Retail and Services segment engages in the retail activities, including bars, restaurants, banks, car rentals, and retails shops, as well as leases space for terminals, advertising, restaurant, and car park services. This segment also engages in the production and supply of heat, drinking water, and access to the chilled distribution networks. The Real Estate segment engages in the construction, commercialization, and lease management of office buildings, logistic buildings, and freight terminals; and provides property leasing services for airport terminals, as well as rents serviced land. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment offers telecom and cybersecurity services. Aeroports de Paris SA was incorporated in 1945 and is based in Tremblay-en-France, France."
Alicon Castalloy Limited (BSE:531147),BSE:531147,AUDI AG,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Alicon Castalloy Limited (BSE:531147) 9/5/ Form Doc,"Alicon Castalloy Limited provides design, manufacturing, engineering, casting, machining, assembly, painting, and surface treatment services for aluminum components in India and internationally. The company offers 2 and 4-wheeler cylinder heads, transcradles, motor and compressor housings, inlet pipes, motor stators, cac tanks, controller and distributor housings, battery trays, housings, enclosure bodies, fully finished cylinder heads, swing arms, cooling/junction boxes, inverter casings, transmission cases, e-axles, and top yokes/bridge fork tops as well as suspension, chassis, and brake parts. Its products are used in various sectors, such as e-mobility, automotive, agriculture, energy, medical and health, defence, infrastructure, locomotive, aerospace, and carbon-neutral. In addition, the company exports its products to approximately 18 countries. Alicon Castalloy Limited was formerly known as Enkei Castalloy Limited and changed its name to Alicon Castalloy Limited in December 2010. The company was incorporated in 1990 and is headquartered in Pune, India."
Alicon Castalloy Limited (BSE:531147),BSE:531147,Ducati Motor Holding S.p.A.,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Alicon Castalloy Limited (BSE:531147) 8/28 Form Doc,"Alicon Castalloy Limited provides design, manufacturing, engineering, casting, machining, assembly, painting, and surface treatment services for aluminum components in India and internationally. The company offers 2 and 4-wheeler cylinder heads, transcradles, motor and compressor housings, inlet pipes, motor stators, cac tanks, controller and distributor housings, battery trays, housings, enclosure bodies, fully finished cylinder heads, swing arms, cooling/junction boxes, inverter casings, transmission cases, e-axles, and top yokes/bridge fork tops as well as suspension, chassis, and brake parts. Its products are used in various sectors, such as e-mobility, automotive, agriculture, energy, medical and health, defence, infrastructure, locomotive, aerospace, and carbon-neutral. In addition, the company exports its products to approximately 18 countries. Alicon Castalloy Limited was formerly known as Enkei Castalloy Limited and changed its name to Alicon Castalloy Limited in December 2010. The company was incorporated in 1990 and is headquartered in Pune, India."
Alicon Castalloy Limited (BSE:531147),BSE:531147,MAN SE,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Alicon Castalloy Limited (BSE:531147) 9/5/ Form Doc,"Alicon Castalloy Limited provides design, manufacturing, engineering, casting, machining, assembly, painting, and surface treatment services for aluminum components in India and internationally. The company offers 2 and 4-wheeler cylinder heads, transcradles, motor and compressor housings, inlet pipes, motor stators, cac tanks, controller and distributor housings, battery trays, housings, enclosure bodies, fully finished cylinder heads, swing arms, cooling/junction boxes, inverter casings, transmission cases, e-axles, and top yokes/bridge fork tops as well as suspension, chassis, and brake parts. Its products are used in various sectors, such as e-mobility, automotive, agriculture, energy, medical and health, defence, infrastructure, locomotive, aerospace, and carbon-neutral. In addition, the company exports its products to approximately 18 countries. Alicon Castalloy Limited was formerly known as Enkei Castalloy Limited and changed its name to Alicon Castalloy Limited in December 2010. The company was incorporated in 1990 and is headquartered in Pune, India."
Alicon Castalloy Limited (BSE:531147),BSE:531147,Scania Commercial Vehicles India Pvt. Ltd.,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Alicon Castalloy Limited (BSE:531147) 9/5/ Form Doc,"Alicon Castalloy Limited provides design, manufacturing, engineering, casting, machining, assembly, painting, and surface treatment services for aluminum components in India and internationally. The company offers 2 and 4-wheeler cylinder heads, transcradles, motor and compressor housings, inlet pipes, motor stators, cac tanks, controller and distributor housings, battery trays, housings, enclosure bodies, fully finished cylinder heads, swing arms, cooling/junction boxes, inverter casings, transmission cases, e-axles, and top yokes/bridge fork tops as well as suspension, chassis, and brake parts. Its products are used in various sectors, such as e-mobility, automotive, agriculture, energy, medical and health, defence, infrastructure, locomotive, aerospace, and carbon-neutral. In addition, the company exports its products to approximately 18 countries. Alicon Castalloy Limited was formerly known as Enkei Castalloy Limited and changed its name to Alicon Castalloy Limited in December 2010. The company was incorporated in 1990 and is headquartered in Pune, India."
Alicon Castalloy Limited (BSE:531147),BSE:531147,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,Automotive Parts and Equipment,Alicon Castalloy Limited (BSE:531147) 9/5/ Form Doc,"Alicon Castalloy Limited provides design, manufacturing, engineering, casting, machining, assembly, painting, and surface treatment services for aluminum components in India and internationally. The company offers 2 and 4-wheeler cylinder heads, transcradles, motor and compressor housings, inlet pipes, motor stators, cac tanks, controller and distributor housings, battery trays, housings, enclosure bodies, fully finished cylinder heads, swing arms, cooling/junction boxes, inverter casings, transmission cases, e-axles, and top yokes/bridge fork tops as well as suspension, chassis, and brake parts. Its products are used in various sectors, such as e-mobility, automotive, agriculture, energy, medical and health, defence, infrastructure, locomotive, aerospace, and carbon-neutral. In addition, the company exports its products to approximately 18 countries. Alicon Castalloy Limited was formerly known as Enkei Castalloy Limited and changed its name to Alicon Castalloy Limited in December 2010. The company was incorporated in 1990 and is headquartered in Pune, India."
"Allison Transmission Holdings, Inc. (NYSE:ALSN)",NYSE:ALSN,Traton SE (XTRA:8TRA),"Subsidiary/Investment
                         ",Supplier,Construction Machinery and Heavy Transportation Equipment,"Allison Transmission Holdings, Inc. (NYSE:ALSN) 2024 Form 10-K","Allison Transmission Holdings, Inc., together with its subsidiaries, designs, manufactures, and sells fully automatic transmissions for medium- and heavy-duty commercial vehicles and medium- and heavy-tactical U.S. defense vehicles, and electrified propulsion systems worldwide. It provides commercial-duty on-highway, off-highway and defense fully automatic transmissions, and electric hybrid and fully electric systems. The company offers transmissions for various applications, including distribution, refuse, construction, fire, and emergency on-highway trucks; school and transit buses; motor homes; energy, mining, and construction off-highway vehicles and equipment; and wheeled and tracked defense vehicles. It provides its transmissions and electric propulsion solutions under the Allison Transmission brand name; and remanufactured transmissions under the ReTran brand name. The company also sells branded replacement parts, support equipment, aluminum die cast components, and other products necessary to service the installed base of vehicles utilizing its solutions, as well as defense kits, engineering services, and extended transmission coverage services to various original equipment manufacturers, distributors, and the U.S. government. It serves customers through an independent network of approximately 1,600 independent distributor and dealer locations. The company was formerly known as Clutch Holdings, Inc. Allison Transmission Holdings, Inc. was founded in 1915 and is headquartered in Indianapolis, Indiana."
Allreal Holding AG (SWX:ALLN),SWX:ALLN,MAN Diesel & Turbo Schweiz AG,"Subsidiary/Investment
                         ",Landlord,Diversified Real Estate Activities,Allreal Holding AG (SWX:ALLN) - Form Doc,"Allreal Holding AG, through its subsidiaries, operates as a real estate company in Switzerland. It operates in two segments, Real Estate and Development & Realisation. The company invests in residential and commercial properties. It also offers portfolio management, operational, and building management services. In addition, the company provides project development, consulting, and contract administration services; and sells condominiums. Further, it engages in the development, realization, purchase, and sale of real estate. The company was founded in 1999 and is based in Baar, Switzerland."
Altaba Inc.,-,"Navistar, Inc.","Subsidiary/Investment
                         ",Supplier,Asset Management and Custody Banks,Altaba Inc. 2014 Form 10-K,"Altaba Inc. (NASDAQ:AABA) is an independent, publicly traded, non-diversified, closed-end management investment company registered under the Investment Company Act of 1940. Altaba's mission is to fully realize the funds' value for stockholders. The fund's assets primarily—but not entirely—comprise two visionary investments made by the Company's founders: the first a substantial investment in Alibaba Group Holding Limited, which has become one of the world's largest online retailers, and the second in Yahoo Japan Corporation, now a leading Japanese internet company."
Alumetal S.A.,-,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,Aluminum,Alumetal S.A. - Form Doc,"Alumetal S.A., together with its subsidiaries, manufactures and sells secondary aluminium casting alloys for the automotive industry in Poland, Germany, and other European countries. It offers aluminum casting alloys in the form of one-notch ingots and waffle plates, as well as liquid metal; fluxes and salts; and by-products, including metal wastes. The company was founded in 1953 and is headquartered in Kety, Poland. Alumetal S.A. operates as a subsidiary of Norsk Hydro ASA."
"Amazon Web Services, Inc.",-,"Rivian Automotive, Inc. (NasdaqGS:RIVN)","Subsidiary/Investment
                         ",Vendor,Internet Services and Infrastructure,"Rivian Automotive, Inc. (NasdaqGS:RIVN) 2024 Form 10-K",There is no business description for this supplier.
"Amazon.com, Inc. (NasdaqGS:AMZN)",NasdaqGS:AMZN,"Rivian Automotive, Inc. (NasdaqGS:RIVN)","Subsidiary/Investment
                         ",Vendor,Broadline Retail,"Rivian Automotive, Inc. (NasdaqGS:RIVN) 2024 Form 10-K",There is no business description for this supplier.
"Anhui Zhongding Sealing Parts Co., Ltd. (SZSE:000887)",SZSE:000887,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,Tires and Rubber,"Anhui Zhongding Sealing Parts Co., Ltd. (SZSE:000887) - Form Doc","Anhui Zhongding Sealing Parts Co., Ltd. manufactures and sells hydraulic and pneumatic seals, and non-tire rubber products in China. Anhui Zhongding Sealing Parts Co., Ltd. was founded in 1980 and is based in Ningguo, China."
APAGCoSyst Electronic Control Systems,-,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,,Kanoria Chemicals & Industries Limited (NSEI:KANORICHEM) 8/22 Form Doc,There is no business description for this supplier.
APAR Industries Limited (NSEI:APARINDS),NSEI:APARINDS,AUDI AG,"Subsidiary/Investment
                         ",Supplier,Industrial Conglomerates,APAR Industries Limited (NSEI:APARINDS) 7/31 Form Doc,"APAR Industries Limited engages in the electrical and metallurgical engineering business in India and internationally. It operates through Conductor, Transformer & Specialties Oils, Power/Telecom Cables, and Others segments. The company offers transformer oils, including naphthenic and iso--paraffinic grades; liquid paraffins that are used in baby oil, medical and pharma, cosmetic, food packaging and coating, personal care, bakery, and plastic industries; petroleum jelly for use in personal care, pharmaceutical formulations, dermatological and ophthalmic formulations, battery terminal compounds, release agents for plaster molds and castings, and leather industries; process oils for rubber and tires, EPDM rubber/profiles, low PCA oils, TPE and plastics, hot melt adhesives, and ink oils; base oils for metal working fluids; and process oils for general applications. It also provides CTC/PICC conductors, railway overhead conductors, T&D overhead conductors, optical ground wires, aluminum and alloy rods, specialty wires, and turnkey solutions, as well as copper rods, wires, busbars, and strips; and electrical cables, elastomer and E-beam cables, light duty cables and wires, fiber optic cables, and specialty products and services. In addition, the company offers gigavolt hybrid, LAN, and specialty cables; thermoplastic elastomers, vulcanizates, polyurethane, rubber, and polyester base elastomer under the Aparprene brand; general, metal working, and automotive lubricants; and specialty automotive products comprising batteries and lubricants, and diesel exhaust fluids or power oils, as well as vehicle care services. It provides its products and services for applications in various fields, including power transmission conductors, petroleum specialty oils, power and telecommunication cables, and house wires. The company also exports its products. Apar Industries Limited was founded in 1958 and is headquartered in Mumbai, India."
Apollo Tyres Limited (NSEI:APOLLOTYRE),NSEI:APOLLOTYRE,AUDI AG,"Subsidiary/Investment
                         ",Supplier,Tires and Rubber,Apollo Tyres Limited (NSEI:APOLLOTYRE) 2024 Form Doc,"Apollo Tyres Limited manufactures and sells automotive tires, tubes, and flaps in the Asia Pacific, the Middle East, Africa, Europe, and internationally. It offers commercial, passenger vehicles, two-wheelers, farm, industrial, trucks and buses, off highway, light trucks, agricultural, and bicycle tyres. The company provides its products under the Apollo Tyres and Vredestein brands. Apollo Tyres Limited was incorporated in 1972 and is headquartered in Gurugram, India."
Apollo Tyres Limited (NSEI:APOLLOTYRE),NSEI:APOLLOTYRE,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,Tires and Rubber,Apollo Tyres Limited (NSEI:APOLLOTYRE) 2024 Form Doc,"Apollo Tyres Limited manufactures and sells automotive tires, tubes, and flaps in the Asia Pacific, the Middle East, Africa, Europe, and internationally. It offers commercial, passenger vehicles, two-wheelers, farm, industrial, trucks and buses, off highway, light trucks, agricultural, and bicycle tyres. The company provides its products under the Apollo Tyres and Vredestein brands. Apollo Tyres Limited was incorporated in 1972 and is headquartered in Gurugram, India."
Apollo Tyres Limited (NSEI:APOLLOTYRE),NSEI:APOLLOTYRE,Volkswagen Nutzfahrzeuge GmbH,"Subsidiary/Investment
                         ",Supplier,Tires and Rubber,Apollo Tyres Limited (NSEI:APOLLOTYRE) 2024 Form Doc,"Apollo Tyres Limited manufactures and sells automotive tires, tubes, and flaps in the Asia Pacific, the Middle East, Africa, Europe, and internationally. It offers commercial, passenger vehicles, two-wheelers, farm, industrial, trucks and buses, off highway, light trucks, agricultural, and bicycle tyres. The company provides its products under the Apollo Tyres and Vredestein brands. Apollo Tyres Limited was incorporated in 1972 and is headquartered in Gurugram, India."
Apple Inc. (NasdaqGS:AAPL),NasdaqGS:AAPL,"Navistar, Inc.","Subsidiary/Investment
                         ",Supplier,"Technology Hardware, Storage and Peripherals",Apple Inc. (NasdaqGS:AAPL) 2014 Form 10-K,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California."
Applied Nano Surfaces Sweden AB,-,Scania AB (publ),"Subsidiary/Investment
                         ",Supplier,Industrial Machinery and Supplies and Components,First Venture Sweden AB (publ) (OM:FIRST B) - Form Doc,"Applied Nano Surfaces Sweden AB offers a production technique that enables manufacturing companies to create low-friction coatings. Its technology is used to create a nano-composite surface coating containing tungsten disulfide on the steel or cast iron components. The company licenses its patented method to manufacturers of mechanical components, such as engine parts that include cylinder liners and piston pins. Applied Nano Surfaces Sweden AB was founded in 2006 and is based in Uppsala, Sweden."
Aptiv PLC (NYSE:APTV),NYSE:APTV,Volkswagen Group United Kingdom Limited,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Aptiv PLC (NYSE:APTV) 2023 Form 10-K,"Aptiv PLC engages in design, manufacture, and sale of vehicle components in North America, Europe, Middle East, Africa, the Asia Pacific, South America, and internationally. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates through two segments, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle’s electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. Its Advanced Safety and User Experience segment provides critical technologies and services for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, autonomous driving technologies, and end-to-end DevOps tools. The company was formerly known as Delphi Automotive PLC and changed its name to Aptiv PLC in December 2017. Aptiv PLC was incorporated in 2011 and is based in Dublin, Ireland."
AQ Group AB (publ) (OM:AQ),OM:AQ,Scania AB (publ),"Subsidiary/Investment
                         ",Supplier,Electrical Components and Equipment,AQ Group AB (publ) (OM:AQ) - Form Doc,"AQ Group AB (publ) manufactures and sells components and systems for industrial customers in Sweden, rest of European countries, and internationally. It operates in two segments, Component and System. The company provides electric cabinets for the food industry, control and power equipment for ship cranes, control equipment for automated handling of goods in ports, and monitoring and control systems for motors and generators; and wiring harness systems and electromechanical modules to automotive, commercial vehicle, railway, and engineering industries. It also offers thermoplastic components for automotive, medical, and engineering industries; and contract manufacturing services for sheet metal components and sheet metal design for c commercial vehicles, off-road equipment, electric power, railway and medical industries. In addition, the company provides machines and automats, including ticket machines for parking lots and travel tickets, automatic teller machines, packaging machines, and printers and passport machines; and transformers and inductors for use in various applications comprising motor drives, high-speed trains, solar and wind energy, marine and offshore, relay protection systems, military equipment, airplanes, and equipment for process automation. Further, it offers system solutions for the automotive industry; and mechanical engineering services for sheet metal and plastic designs. The company was incorporated in 1986 and is headquartered in Västerås, Sweden."
"ARRIVER HOLDCO, INC.",-,AUDI AG,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,"ARRIVER HOLDCO, INC. 2022 Form 10-K","ARRIVER HOLDCO, INC. engages in the design, development, manufacture, and sale of automotive safety electronics primarily in North America, Europe, and Asia. It offers mono-and stereo-vision cameras, night driving assist systems, advanced driver assist systems (ADAS), electronic control units, seat belt pre-tensioner electronic controllers, and ADAS software for highly automated driving (HAD) and autonomous driving (AD). The company also provides driver monitoring systems, LiDAR sensors, RoadScape positioning, and other technologies for ADAS, HAD, and AD solutions. ARRIVER HOLDCO, INC. was formerly known as VEONEER, INC. ARRIVER HOLDCO, INC. was incorporated in 2017 and is headquartered in Stockholm, Sweden. ARRIVER HOLDCO, INC. operates as a subsidiary of Ssw Holdco Lp."
