Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
Esker SA (ENXTPA:ALESK),ENXTPA:ALESK,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Application Software,Esker SA (ENXTPA:ALESK) - Form Doc,"Esker SA operates cloud platform for finance, procurement, and customer service professionals in France, Germany, the United Kingdom, Southern Europe, Australia, Asia, the Americas, and internationally. It operates through Software as a Service (SaaS); Implementation Services; and Legacy Products segments. The company offers Esker on Demand, a cloud-based document process and information exchange service; Esker VSI-Fax, a fax server solution that integrates fax with enterprise applications and messaging platforms; Esker SmarTerm, a terminal emulator for PC-to-host connectivity for enterprise-wide access; Esker Tun, a terminal emulation software for PC-to-host and multi-user windows; and Esker EDI Services, which processes and validates order and invoice documents in EDI format for the ERP system. It also provides source-to-pay software for sourcing, supplier and contract management, procurement, accounts payable, expenses, and payment and supply chain financing; customer service software for customer inquiry, order, and claims management; accounts receivable software for credit management, invoice delivery, payment processing, cash application, claims and deductions, and collections management; electronic invoicing solutions; and EDI integration solutions. In addition, the company offers technology solutions for artificial intelligence, cloud platform, ERP connectivity suites, security, and robotic process automation; and Esker Pay, a payment automation solution. Further, it provides electronic cloud fax and business mail services; and consulting, solutions support, and customer experience services. The company serves the food and beverage, building materials, electronics, life sciences, and chemical industries. Esker SA was incorporated in 1985 and is headquartered in Lyon, France."
Eyantra Ventures Limited (BSE:512099),BSE:512099,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Other Specialty Retail,Key DevelopmentClient Announcements Dec-14-2023,"Eyantra Ventures Limited provides custom merchandise solutions in India and internationally. The company offers corporate gifting; software services, including artificial intelligence, software engineering, and mobile application; and advanced embedded and internet of things (IoT) solutions, such as embedded software and hardware solutions. It sells diamonds. The company was formerly known as Punit Commercials Limited. Eyantra Ventures Limited was incorporated in 1984 and is based in Hyderabad, India."
Fabrinet (NYSE:FN),NYSE:FN,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Electronic Manufacturing Services,Fabrinet (NYSE:FN) 2024 Form 10-K,"Fabrinet provides optical packaging and precision optical, electro-mechanical, and electronic manufacturing services in North America, the Asia-Pacific, and Europe. The company offers a range of advanced optical and electro-mechanical capabilities in the manufacturing process, including process design and engineering, supply chain management, manufacturing, printed circuit board assembly, advanced packaging, integration, final assembly, and testing. Its products include switching products, including reconfigurable optical add-drop multiplexers, optical amplifiers, modulators, and other optical components and modules that enable network managers to route voice, video, and data communications traffic through fiber optic cables at various wavelengths, speeds, and over various distances. The company’s products also comprise transceivers, tunable lasers, and transponders; and active optical cables, which provide high-speed interconnect capabilities for data centers and computing clusters, as well as Infiniband, Ethernet, fiber channel, and optical backplane connectivity. In addition, it provides solid state, diode-pumped, gas, and fiber lasers used in semiconductor processing, biotechnology and medical device, metrology, and material processing industries; and differential pressure, micro-gyro, fuel, and other sensors used in automobiles, as well as non-contact temperature measurement sensors for the medical industry. Further, the company designs and fabricates application-specific crystals, lenses, prisms, mirrors, laser components, and substrates; and other custom and standard borosilicate, clear fused quartz, and synthetic fused silica glass products. It serves original equipment manufacturers of optical communication components, modules and sub-systems, industrial lasers, automotive components, medical devices, and sensors. The company was incorporated in 1999 and is based in George Town, the Cayman Islands."
Flex Ltd. (NasdaqGS:FLEX),NasdaqGS:FLEX,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Electronic Manufacturing Services,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,"Flex Ltd. provides manufacturing solutions to various brands in Asia, the Americas, and Europe. It operates through two segments, Flex Agility Solutions (FAS) and Flex Reliability Solutions (FRS). The FAS segment offers flexible supply and manufacturing system comprising communications, enterprise, and cloud solution, which includes data, edge, and communications infrastructure; lifestyle solution, including appliances, consumer packaging, floorcare, micro mobility, and audio; and consumer devices, such as mobile and high velocity consumer devices. Its FRS segment provides complex ramps with specialized production models and critical environments, which comprise automotive including next generation mobility, autonomous, connectivity, electrification, and smart technologies; health solutions, such as medical devices, medical equipment, and drug delivery; and industrial solutions, including capital equipment, industrial devices, embedded and critical power offerings, and renewables and grid edge. In addition, it provides various services, including design and engineering, such as product design and engineering resources that provide design services, product development, systems integration services, and solutions; supply chain comprising manufacturing, customization, procurement, logistics services, and innovative supply chain solutions; manufacturing; logistics and value-added fulfillment, including warehousing and vendor managed inventory, omni-channel fulfillment, kitting, configuration, and postponement; and integrated reverse logistics and circular economy. Further, the company offers embedded and critical power solutions. The company was formerly known as Flextronics International Ltd. and changed its name to Flex Ltd. in September 2016. Flex Ltd. was founded in 1969 and is headquartered in Austin, Texas."
Gemdale Properties and Investment Corporation Limited (SEHK:535),SEHK:535,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Landlord,Diversified Real Estate Activities,Gemdale Properties and Investment Corporation Limited (SEHK:535) 2024 Form Doc,"Gemdale Properties and Investment Corporation Limited, an investment holding company, engages in the property investment, development, and management activities in Mainland China. The company operates through Property Development, Property Investment and Management, and Other segments. It develops and sells residential and commercial properties; and invests in and manages business parks and commercial properties, as well as offers financial services to property buyers and small businesses. The company was formerly known as Frasers Property (China) Limited and changed its name to Gemdale Properties and Investment Corporation Limited in March 2013. Gemdale Properties and Investment Corporation Limited was incorporated in 1990 and is headquartered in Central, Hong Kong."
Gentex Corporation (NasdaqGS:GNTX),NasdaqGS:GNTX,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Automotive Parts and Equipment,Gentex Corporation (NasdaqGS:GNTX) 2024 Form 10-K,"Gentex Corporation designs, develops, manufactures, markets, and supplies digital vision, connected car, dimmable glass, and fire protection products in the United States, Germany, Japan, Mexico, Republic of Korea, and internationally. It operates through Automotive Products and Other segments. The company offers automotive products, including interior and exterior electrochromic automatic-dimming rearview mirrors, automotive electronics, and non-automatic-dimming rearview mirrors for automotive passenger cars, light trucks, pick-up trucks, sport utility vehicles, and vans for original equipment manufacturers, automotive suppliers, and various aftermarket and accessory customers. It also provides variable dimmable windows to aircraft manufacturers and airline operators. In addition, the company offers photoelectric smoke detectors and alarms, electrochemical carbon monoxide alarms and detectors, audible and visual signaling alarms, and bells and speakers used in fire detection systems in office buildings, hotels, and other commercial and residential buildings, as well as researches and develops nanofiber chemical sensing products. It sells its fire protection products directly, as well as through sales managers and manufacturer representative organizations to fire protection and security product distributors, electrical wholesale houses, and original equipment manufacturers of fire protection systems. Gentex Corporation was incorporated in 1974 and is headquartered in Zeeland, Michigan."
"Hesai Photonics Technology Co., Ltd",-,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Electronic Equipment and Instruments,Key DevelopmentClient Announcements Jul-18-2024,"As of November 16, 2021 Hesai Photonics Technology Co., Ltd was acquired by  Xiaomi Inc. Hesai Photonics Technology Co., Ltd manufactures 3D-sensor (LiDAR) solutions in China and internationally. The company’s proprietary technologies include micro-mirror and waveform fingerprint. Its products include mechanical and solid-state LiDAR, all-in-one sensing kit, and handheld and drone-mounted remote methane leak detectors. The company was founded in 2013 and is based in Shanghai, China."
"Hon Hai Precision Industry Co., Ltd. (TWSE:2317)",TWSE:2317,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Electronic Manufacturing Services,NVIDIA Corporation (NasdaqGS:NVDA) 2024 Form 10-K,"Hon Hai Precision Industry Co., Ltd. provides electronic OEM services. The company offers consumer electronics comprising of television sets, game consoles, set-top boxes, and speakers. It also provides cloud networking products consisting of routers, servers, edge computing, data centers, and satellite communications and other related equipment. In addition, the company offers desktop computers, notebook computers, tablets, business machines, printers, etc. Further, it provides connectors, precision optical components, lenses, electronic components, semiconductor products, automotive electronic parts, cutting tools/mold fixtures, and mechanical equipment. The company operates in Taiwan, Mainland China, India, Japan, Vietnam, Malaysia, Singapore, the Czech Republic, Hungary, Slovakia, the United States, Brazil, and Mexico. Hon Hai Precision Industry Co., Ltd. was founded in 1974 and is headquartered in New Taipei City, Taiwan."
"Ibiden Co.,Ltd. (TSE:4062)",TSE:4062,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Electronic Components,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,"Ibiden Co.,Ltd. provides electronic and ceramics products in Japan, rest of Asia, North America, Europe, and internationally. The company offers IC package substrate for use in personal computers, data centers, and AI applications; motherboard and printed wiring boards; automotive exhaust system components, including diesel particulate filters; substrate holding mats; high temperature insulation materials; and graphite specialty products. It also provides decorative interior laminates for use in residential housing equipment, commercial facilities, offices, and hospitals. In addition, the company engages in the construction and maintenance of the renewable energy facilities; construction business; environmental engineering technology business; medical software package development; sale of information and communication terminals; and sale of welfare vehicles. Further, it engages in the solar and hydroelectric power generation. The company was formerly known as Ibigawa Electric Power Co., Ltd. and changed its name to Ibiden Co.,Ltd. in November 1982. The company was incorporated in 1912 and is headquartered in Ogaki, Japan."
Innolux Corporation (TWSE:3481),TWSE:3481,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Electronic Components,Key DevelopmentClient Announcements Jun-07-2014,"Innolux Corporation, together with its subsidiaries, researches, designs, develops, manufactures, and sells modules and monitors of liquid crystal displays (LCD), color filters, low temperature poly-silicon thin film transistor (TFT)-LCDs, and TFT-LCD panels. The company provides small, medium, and large sized panels for a range application, such as LCD televisions, billboards, desktop monitors, notebooks, tablet computers, mobile phones, portable audio players, wearable devices, automotive displays, medical, X-ray, industrial, aeronautic, and educational products. It also offers display technologies for LCD and non-LCD products; and x-ray image sensor, a non-display technology. In addition, the company provides display integration solutions, including 8K4K ultra-high resolution, AM miniLED, AM microLED, LTPS, and touch solutions. Further, it is involved in the research and development, and sale of 3D flat monitor and micro-LED technology; and design, manufacture, and sale of electronic parts, and LCD backend module and related components, as well as warehousing, distribution, testing and maintenance, after-sales service, and investment businesses. Additionally, the company produces and sells absorption for medical element and medical equipment; and engages in the e-paper module/assembly activities. It operates in Taiwan, Hong Kong, the United States, Europe, China, and internationally. The company was formerly known as Chimei Innolux Corporation and changed its name to Innolux Corporation in December 2012. Innolux Corporation was incorporated in 2003 and is headquartered in Miaoli, Taiwan."
Jabil Inc. (NYSE:JBL),NYSE:JBL,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Electronic Manufacturing Services,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,"Jabil Inc. provides manufacturing services and solutions worldwide. It operates in two segments, Electronics Manufacturing Services and Diversified Manufacturing Services. The company offers electronics design, production, and product management services; electronic circuit design services, such as application-specific integrated circuit design, firmware development, and rapid prototyping services; and designs plastic and metal enclosures that include the electro-mechanics, such as the printed circuit board assemblies (PCBA). It also provides three-dimensional mechanical design comprising the analysis of electronic, electro-mechanical, and optical assemblies, as well as various industrial design, mechanism development, and tooling management services. In addition, the company provides computer-assisted design services consisting of PCBA design, as well as PCBA design validation and verification services; and other consulting services, such as the generation of a bill of materials, approved vendor list, and assembly equipment configuration for various PCBA designs. Further, it offers product and process validation services, such as product system, product safety, regulatory compliance, and reliability tests, as well as manufacturing test solution development services. Additionally, the company provides systems assembly, test, direct-order fulfillment, and configure-to-order services. It serves 5G, wireless and cloud, digital print and retail, industrial and semi-cap, networking and storage, automotive and transportation, connected devices, healthcare and packaging, and mobility industries. The company was formerly known as Jabil Circuit, Inc. and changed its name to Jabil Inc. in June 2017. Jabil Inc. was founded in 1966 and is headquartered in Saint Petersburg, Florida."
"King Yuan Electronics Co., Ltd. (TWSE:2449)",TWSE:2449,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Semiconductors,"King Yuan Electronics Co., Ltd. (TWSE:2449) 2024 Form Doc","King Yuan Electronics Co., Ltd. engages in the designing, manufacturing, selling, testing, and assembly service of integrated circuits in Taiwan, Asia, North America, and internationally. It offers memory IC test solutions for memory products, such as NOR and NAND flash memory, Mask-ROM, EPROM, EEPROM, DRAM, SDRAM, RDRAM, DDR I and DDR II, SRAM, Pseudo SRAM, and embedded memory products; and consumer electronics testing solutions for games, digital audio, digital TV, set-top box, and others. The company also provides logic and mixed-signal IC test solutions for audio/video, ODD IC's, chipset, xDSL, MB/GB Ethernet, MAC, PHY, BB, MCU, AC/DC converter, embedded controllers, LVDS, USB, firewire, etc.; and liquid crystal display (LCD) driver test solutions for use in high pixel count LCD panels comprising super extended graphics array and ultra-extended graphics array. In addition, it offers CMOS mage, DPS/EMBED DRAM image, charge-coupled device image, high resolution and high speed image, and integration SOC image sensors for cameras, various mobile phones, digital cameras, and digital video recorders; and radio frequency IC test solutions, as well as cellular phone type applications. Further, the company provides system on chip (SOC) test solutions, such as testing, diagnosis, verification, characterization, and debugging services for SOC devices comprising ASIC and ASSP; solutions to test various kinds of multi-mode MEMS devices comprising microphones, gyroscope, acceleration sensor, electronic compass, and pressure sensors; and biochip testing solutions. Additionally, it offers ball grid array, QFN/DFN/WSON, thin small outline, land grid array, eMMC/eMCP/MCP, and memory card package services. The company also manufactures and sells IC burn-in systems and wafer level burn-in systems; manufactures and wholesales electronics parts and components; and offers electronics repairing services. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan."
Kinsus Interconnect Technology Corp. (TWSE:3189),TWSE:3189,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Semiconductor Materials and Equipment,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,"Kinsus Interconnect Technology Corp., together with its subsidiaries, engages in the manufacture and sale of electronic products in Taiwan and internationally. The company offers system in package, a carrier substrate that provides a platform for multiple chips or packages or passive components assembly for modules in handset and wearable devices; plastic ball grid array substrate for microprocessors, controllers, graphic processors, ASIC, and PC chipsets; and flip chip chip scale package substrate for application processors and connectivity applications. It also provides wire bond chip scale package substrate for application processor, connectivity, power management, and memory applications; radio frequency modules substrate for power amplifier, front end modules, and Wi-Fi connectivity modules applications; and flip chip ball grid array substrate for micro and graphic processors, ASIC, and field programmable gate array applications. In addition, the company is involved in the research, development, production, and sale of electronic components, and printed circuit boards and related products, as well as provision of after sales services; manufacture, production, and sale of medical equipment; and sale of cosmetic products. Further, it is involved in the wholesale and retail-sale of electronic materials; manufacture and sale of medical equipment; provision of consultation services for business operation and management; investment and trading activities; and sale of cosmetic products. Additionally, the company produces, manufactures, and sells contact lens. It primarily serves manufacturers of electronic products. The company was incorporated in 2000 and is based in Taoyuan City, Taiwan."
Malam - Team Ltd (TASE:MLTM),TASE:MLTM,"Mellanox Technologies, Ltd.","Subsidiary/Investment
                         ",Supplier,IT Consulting and Other Services,Malam - Team Ltd (TASE:MLTM) - Form ,"Malam - Team Ltd provides information technology services in Israel. The company offers solutions for pension savings, payroll systems, attendance systems, human resources systems, SAP solutions, payroll accountants, and management of provident fund operations, as well as outsourcing and managed services. It also provides infrastructure and integration services, including consulting, architecting, designing, and implementing system-based solutions, as well as infrastructure software, communications, information security, Internet of Things, control and monitoring systems, OEM, public transport, systems engineering, and printing solutions. In addition, the company offers BI and big data improving business performance, Salesforce, Agilepoint, customer relationship management, enterprise resource planning, application virtualization and secure browsing, disaster recovery, CAD, customs clearance management, central management solutions, guidance and training, management of information and documents, product lifecycle management, mobile application development, and human capital management solutions, as well as software solutions for managing infrastructure and organizational processes. Further, the company provides software development services, such as development solutions for advanced applications for various types of devices and operating systems; digital solutions; Microsoft-based technology solutions for organization infrastructures; managing, ticketing, and sharing information; legal processes and debt collection solutions; OpenSource environment; guidance and training solutions for decision making and security probes; and mainframe customer solutions, as well as development services for JAVA and Oracle. Additionally, it offers cyber and communication solutions, such as information security software solutions; and cloud computing solutions. Malam - Team Ltd was incorporated in 1972 and is headquartered in Petah Tikva, Israel."
"Micron Technology, Inc. (NasdaqGS:MU)",NasdaqGS:MU,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Semiconductors,NVIDIA Corporation (NasdaqGS:NVDA) 2024 Form 10-K,"Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products in the United States, Taiwan, Mainland China, rest of the Asia Pacific, Hong Kong, Japan, Europe, and internationally. The company operates through four segments: Compute and Networking Business Unit, Mobile Business Unit, Embedded Business Unit, and Storage Business Unit. It provides memory and storage technologies comprising dynamic random access memory semiconductor devices with low latency that provide high-speed data retrieval; non-volatile and re-writeable semiconductor storage devices; and non-volatile re-writable semiconductor memory devices that provide fast read speeds under the Micron and Crucial brands, as well as through private labels. The company offers serves the data center, PC, graphics, networking, automotive, industrial, and consumer embedded markets, as well as for smartphone and other mobile-device markets. It markets its products through its direct sales force, independent sales representatives, distributors, and retailers; and web-based customer direct sales channel, as well as through channel and distribution partners. Micron Technology, Inc. was founded in 1978 and is headquartered in Boise, Idaho."
Omni Logistics LLC,-,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Air Freight and Logistics,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,Omni Logistics LLC operates as a subsidiary of Marathon Petroleum Corporation.
